Title,Rental_Price,Rooms,m2,Province,Municipality,Date
"Piso en concheiros, Concheiros - Fontiñas, Santiago de Compostela",580€/mes,3 hab.,90 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en calle de Montero Ríos, 34, Ensanche - Sar, Santiago de Compostela",550€/mes,2 hab.,69 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en calle Marconi, Monte Alto - Zalaeta - Atocha, A Coruña",400€/mes,3 hab.,70 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en calle do Carme de Abaixo, Campus sur - Santa Marta, Santiago de Compostela",650€/mes,1 hab.,90 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en Porta Nova, Ferrol",380€/mes,2 hab.,70 m²,a-coruna-provincia,Ferrol,2022-02-22
"Piso en calle de puente la reina, 15, Concheiros - Fontiñas, Santiago de Compostela",320€/mes,1 hab.,45 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en calle traviesa del monte, Falperra-Santa Lucía, A Coruña",800€/mes,2 hab.,70 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en avenida del Ejercito, 8, Cuatro Caminos - Plaza de la Cubela, A Coruña",900€/mes,4 hab.,120 m²,a-coruna-provincia,A Coruña,2022-02-22
"Ático en avenida del Puerto, Sada",550€/mes,3 hab.,93 m²,a-coruna-provincia,Sada,2022-02-22
"Piso en calle Pablo Picasso, 4, Acea de Ama - O Burgo, Culleredo",490€/mes,1 hab.,55 m²,a-coruna-provincia,Culleredo,2022-02-22
"Piso en Ribera, Betanzos",295€/mes,2 hab.,53 m²,a-coruna-provincia,Betanzos,2022-02-22
"Piso en calle Pozo, Falperra-Santa Lucía, A Coruña",700€/mes,1 hab.,60 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en Perillo, Oleiros",720€/mes,1 hab.,65 m²,a-coruna-provincia,Oleiros,2022-02-22
"Piso en calle Belén, 12, Sagrada Familia, A Coruña",550€/mes,3 hab.,60 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en Zumalacárregui, 6, Cedeira",170€/mes,2 hab.,51 m²,a-coruna-provincia,Cedeira,2022-02-22
"Piso en avenida de Arteixo, 227, Os Mallos, A Coruña",595€/mes,2 hab.,70 m²,a-coruna-provincia,A Coruña,2022-02-22
"Estudio en Galera, 51, Ciudad Vieja - Centro, A Coruña",575€/mes,39 m²,Planta 4ª exterior con ascensor,a-coruna-provincia,A Coruña,2022-02-22
"Piso en Sagrada Familia, A Coruña",500€/mes,4 hab.,87 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en calle Avogacía, Cuatro Caminos - Plaza de la Cubela, A Coruña",950€/mes,2 hab.,74 m²,a-coruna-provincia,A Coruña,2022-02-22
"Dúplex en A Gándara, Narón",650€/mes,3 hab.,120 m²,a-coruna-provincia,Narón,2022-02-22
"Piso en Benito blanco rajoy, 8, Cuatro Caminos - Plaza de la Cubela, A Coruña",990€/mes,3 hab.,133 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en avenida de Pastoriza, 56, Suevos-Pastoriza, Arteixo",500€/mes,3 hab.,106 m²,a-coruna-provincia,Arteixo,2022-02-22
"Piso en calle Monasterio de Monfero, 6, Porta Nova, Ferrol",430€/mes,3 hab.,115 m²,a-coruna-provincia,Ferrol,2022-02-22
"Casa o chalet independiente en ombre, Pontedeume",3.000€/mes,3 hab.,314 m²,a-coruna-provincia,Pontedeume,2022-02-22
"Piso en San Cristóbal das Viñas, Someso - Matogrande, A Coruña",525€/mes,3 hab.,77 m²,a-coruna-provincia,A Coruña,2022-02-22
"Ático en Fernando III el Santo, 6, Ensanche - Sar, Santiago de Compostela",600€/mes,2 hab.,55 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en avenida Mugardos, 55, Ares",350€/mes,2 hab.,70 m²,a-coruna-provincia,Ares,2022-02-22
"Piso en calle dos Pelamios, 2, Campus norte - S.Caetano, Santiago de Compostela",355€/mes,1 hab.,43 m²,a-coruna-provincia,Santiago de Compostela,2022-02-22
"Piso en calle Real, 233, Centro, Ferrol",600€/mes,2 hab.,110 m²,a-coruna-provincia,Ferrol,2022-02-22
"Piso en calle San Jorge, Monte Alto - Zalaeta - Atocha, A Coruña",625€/mes,2 hab.,75 m²,a-coruna-provincia,A Coruña,2022-02-22
"Piso en calle A Viña, 1, Someso - Matogrande, A Coruña",800€/mes,3 hab.,123 m²,a-coruna-provincia,A Coruña,2022-02-22
