Title,Rental_Price,Rooms,m2,Province,Municipality,Date
Dúplex en Cambre,650€/mes,3 hab.,135 m²,a-coruna-provincia,Dúplex en Cambre,2022-02-19
"Piso en calle de Abaixo, 1, O Milladoiro, Ames",350€/mes,1 hab.,60 m²,a-coruna-provincia,Ames,2022-02-19
"Piso en Enrique Mariñas, Someso - Matogrande, A Coruña",800€/mes,3 hab.,120 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Monte Alto - Zalaeta - Atocha, A Coruña",800€/mes,2 hab.,76 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Monte Alto - Zalaeta - Atocha, A Coruña",800€/mes,2 hab.,77 m²,a-coruna-provincia,A Coruña,2022-02-19
"Ático en avenida de Arteixo, 107, Os Mallos, A Coruña",550€/mes,3 hab.,100 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en avenida de Caión, Arteixo",500€/mes,2 hab.,87 m²,a-coruna-provincia,Arteixo,2022-02-19
"Piso en calle Antonio Viñes, Os Mallos, A Coruña",500€/mes,1 hab.,53 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en travesía TRAVESÍA DE ARTEIXO, Arteixo",410€/mes,3 hab.,84 m²,a-coruna-provincia,Arteixo,2022-02-19
"Piso en calle San Francisco, 19, Ferrol Vello - Puerto, Ferrol",400€/mes,2 hab.,70 m²,a-coruna-provincia,Ferrol,2022-02-19
Dúplex en Mugardos,450€/mes,3 hab.,106 m²,a-coruna-provincia,Dúplex en Mugardos,2022-02-19
"Piso en Alto del Castaño, Narón",450€/mes,2 hab.,70 m²,a-coruna-provincia,Narón,2022-02-19
"Piso en manuel murguía, 36, Riazor - Los Rosales, A Coruña",1.150€/mes,3 hab.,110 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Piñeiros-Freixeiro, Narón",300€/mes,3 hab.,90 m²,a-coruna-provincia,Narón,2022-02-19
"Piso en calle do Vilar, Casco Histórico, Santiago de Compostela",1.000€/mes,4 hab.,140 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Piso en Caranza, Ferrol",280€/mes,2 hab.,50 m²,a-coruna-provincia,Ferrol,2022-02-19
"Piso en plaza de Fuente Seoane, 1, Monte Alto - Zalaeta - Atocha, A Coruña",600€/mes,2 hab.,75 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Campus norte - S.Caetano, Santiago de Compostela",450€/mes,2 hab.,54 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Piso en calle Perillana, Ensanche, A Coruña",520€/mes,1 hab.,40 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle da Angustia, 25, Campus norte - S.Caetano, Santiago de Compostela",650€/mes,4 hab.,85 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Piso en calle do Castro, 16, Ribeira",400€/mes,2 hab.,70 m²,a-coruna-provincia,Ribeira,2022-02-19
"Piso en calle Emilia Pardo Bazán, Ensanche, A Coruña",900€/mes,2 hab.,87 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Cuatro Caminos - Plaza de la Cubela, A Coruña",550€/mes,1 hab.,45 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en avenida Rosalía de Castro, O Milladoiro, Ames",500€/mes,3 hab.,92 m²,a-coruna-provincia,Ames,2022-02-19
"Piso en belgrado, 4, Concheiros - Fontiñas, Santiago de Compostela",600€/mes,2 hab.,80 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Piso en ronda de Montealto, Monte Alto - Zalaeta - Atocha, A Coruña",830€/mes,2 hab.,96 m²,a-coruna-provincia,A Coruña,2022-02-19
"Estudio en plaza Galicia, 4, Ensanche, A Coruña",475€/mes,32 m²,Planta 9ª exterior con ascensor,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle PUENTE, Cuatro Caminos - Plaza de la Cubela, A Coruña",850€/mes,2 hab.,97 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle Sirena, Monte Alto - Zalaeta - Atocha, A Coruña",750€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle da Estrada, 88, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",550€/mes,1 hab.,45 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Ático en Almendra, Canido, Ferrol",500€/mes,3 hab.,90 m²,a-coruna-provincia,Ferrol,2022-02-19
"Piso en plaza das Angustias, Noia",400€/mes,3 hab.,99 m²,a-coruna-provincia,Noia,2022-02-19
"Piso en calle Rey Abdullah, 12, Juan Flórez-San Pablo, A Coruña",950€/mes,3 hab.,97 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en San Andres, 42, Monte Alto - Zalaeta - Atocha, A Coruña",1.300€/mes,3 hab.,157 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Juan Flórez-San Pablo, A Coruña",700€/mes,1 hab.,86 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle Luciano Yordi de Carricarte, 1, Someso - Matogrande, A Coruña",720€/mes,3 hab.,95 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en Esteiro, Ferrol",460€/mes,3 hab.,78 m²,a-coruna-provincia,Ferrol,2022-02-19
"Dúplex en calle Manuel Azaña, Riazor - Los Rosales, A Coruña",800€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-02-19
"Ático en SINFONICA DE GALICIA, s/n, Juan Flórez-San Pablo, A Coruña",1.300€/mes,2 hab.,100 m²,a-coruna-provincia,A Coruña,2022-02-19
Piso en Pontedeume,550€/mes,3 hab.,96 m²,a-coruna-provincia,Piso en Pontedeume,2022-02-19
"Piso en SARDIÑEIRA, Os Mallos, A Coruña",500€/mes,3 hab.,100 m²,a-coruna-provincia,A Coruña,2022-02-19
"Dúplex en MANUEL AZAÑA, 17, Riazor - Los Rosales, A Coruña",800€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en avenida Alcalde Manuel Platas Varela, s/n, Oseiro, Arteixo",340€/mes,1 hab.,40 m²,a-coruna-provincia,Arteixo,2022-02-19
"Casa o chalet independiente en calle de Xosé Couso, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",900€/mes,3 hab.,170 m²,a-coruna-provincia,Santiago de Compostela,2022-02-19
"Piso en calle Ponte, 13, Cuatro Caminos - Plaza de la Cubela, A Coruña",850€/mes,2 hab.,97 m²,a-coruna-provincia,A Coruña,2022-02-19
"Piso en calle Rabazal, Miño",325€/mes,1 hab.,40 m²,a-coruna-provincia,Miño,2022-02-19
"Piso en calle Curros Enríquez, 13, Noia",380€/mes,2 hab.,80 m²,a-coruna-provincia,Noia,2022-02-19
"Dúplex en calle Río Eume, 3, Piñeiros-Freixeiro, Narón",550€/mes,3 hab.,136 m²,a-coruna-provincia,Narón,2022-02-19
"Piso en Perillo, Oleiros",580€/mes,3 hab.,74 m²,a-coruna-provincia,Oleiros,2022-02-19
"Piso en calle Félix Rodríguez de la Fuente, 21, Suevos-Pastoriza, Arteixo",700€/mes,3 hab.,100 m²,a-coruna-provincia,Arteixo,2022-02-19
"Estudio en calle Curros Enríquez, 13, Monte Alto - Zalaeta - Atocha, A Coruña",650€/mes,50 m²,Bajo exterior sin ascensor,a-coruna-provincia,A Coruña,2022-02-19
